mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.22288665771484376,0.004231848215203655,35.1696120262146,0.05345041060288839,manhattan,5,distance,0.95,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'pca__n_components': 0.95}",0.9666666666666667,0.96675,0.96725,0.9619166666666666,0.96375,0.9652666666666667,0.0020792626898334457,42
0.24853506088256835,0.003970764729579976,98.35868606567382,0.39854976544189524,manhattan,5,distance,0.99,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'pca__n_components': 0.99}",0.957,0.957,0.95675,0.9521666666666667,0.954,0.9553833333333334,0.001967513941783136,54
0.2235553741455078,0.004604201653530826,18.286801624298096,0.0858041109625726,manhattan,7,uniform,0.9,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'uniform', 'pca__n_components': 0.9}",0.9694166666666667,0.9705,0.9694166666666667,0.9653333333333334,0.9659166666666666,0.9681166666666667,0.0020807317089054232,37
0.23150477409362794,0.0030872081414380645,36.25521287918091,0.13214226401115142,manhattan,7,uniform,0.95,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'uniform', 'pca__n_components': 0.95}",0.9636666666666667,0.9645833333333333,0.9624166666666667,0.9583333333333334,0.95875,0.9615500000000001,0.0025541904566591905,48
0.249617862701416,0.0032490838266288594,100.65302958488465,0.3389126520784306,manhattan,7,uniform,0.99,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'uniform', 'pca__n_components': 0.99}",0.9515833333333333,0.9518333333333333,0.9515,0.9479166666666666,0.9485833333333333,0.9502833333333334,0.0016771337984125788,59
0.22647981643676757,0.0026084289762608455,18.938751554489137,0.09874178774235735,manhattan,7,distance,0.9,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'pca__n_components': 0.9}",0.9705,0.9726666666666667,0.9706666666666667,0.96675,0.9671666666666666,0.9695499999999999,0.002253145948816176,31
0.24118194580078126,0.0013400155041361978,37.07668342590332,0.05873728243235326,manhattan,7,distance,0.95,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'pca__n_components': 0.95}",0.9650833333333333,0.9665,0.96475,0.9601666666666666,0.9609166666666666,0.9634833333333332,0.0024840602962801963,46
0.2579367637634277,0.006458235333220532,102.34408454895019,0.38284500751040795,manhattan,7,distance,0.99,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'pca__n_components': 0.99}",0.9544166666666667,0.9536666666666667,0.954,0.9496666666666667,0.9501666666666667,0.9523833333333334,0.0020341528403189707,57
0.23162765502929689,0.004573130088968626,19.407212591171266,0.024719990403895376,manhattan,9,uniform,0.9,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'uniform', 'pca__n_components': 0.9}",0.9673333333333334,0.9688333333333333,0.9683333333333334,0.9639166666666666,0.964,0.9664833333333334,0.0021176506899025014,40
0.24171094894409179,0.0031955604253036734,37.985410594940184,0.16610568056573405,manhattan,9,uniform,0.95,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'uniform', 'pca__n_components': 0.95}",0.96075,0.9615833333333333,0.9600833333333333,0.95675,0.9573333333333334,0.9593,0.0019131126469708927,50
0.2592750072479248,0.0045187391452537065,93.93459601402283,2.4746124648387644,manhattan,9,uniform,0.99,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'uniform', 'pca__n_components': 0.99}",0.9491666666666667,0.9493333333333334,0.9498333333333333,0.9469166666666666,0.9461666666666667,0.9482833333333334,0.0014583095236151557,60
0.23551616668701172,0.005207819500572531,19.88280920982361,0.010463968373031212,manhattan,9,distance,0.9,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'distance', 'pca__n_components': 0.9}",0.969,0.9704166666666667,0.9699166666666666,0.9656666666666667,0.9653333333333334,0.9680666666666667,0.0021469616774512775,38
0.2457334041595459,0.00200849026854987,37.59290080070495,0.549144816751685,manhattan,9,distance,0.95,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'distance', 'pca__n_components': 0.95}",0.9625,0.9631666666666666,0.9625833333333333,0.9579166666666666,0.95925,0.9610833333333334,0.002096955465006875,49
